"Note that customers need to be connected in order to collect social points. Also note that with twitter, client can modify message sent and therefore can remove shared URLs.","Notez que les clients doivent être connecté pour pouvoir bénéficier de ce service. Il est aussi à noter que l'utilisation de twitter autorise la suppression d'URLs du message par les utilisateurs."
"Facebook Like points","Points Facebook J'aime"
"Points earned clicking on facebook global like button. Use 0 to deactivate the service.","Points acquis lors du click sur le bouton général j'aime. Utiliser 0 pour désactiver le service."
"Facebook data-layout","Facebook data-layout"
"Facebook data-layout (default is: button_count). Check facebook api in order to know other possible values.","Facebook data-layout (valeur par défaut : button_count). Plus de détails dans la documentation de l'api facebook."
"Facebook data-action","Facebook data-action"
"Facebook data-action (default is: like). Check facebook api in order to know other possible values.","Facebook data-action (valeur par défaut : like). Plus de détails dans la documentation de l'api facebook."
"Facebook language","Facebook - Langue"
"Facebook language (default is: en_US, but you can change it to fr_FR for french for example, or any other language code). Check facebook api in order to know other possible values.","Facebook langue (valeur par défaut : en_USn mais fr_FR peut être utilisé pour le français par exemple). Plus de détails dans la documentation de l'api facebook."
"Google plus points","Points Google Plus"
"Points earned clicking on google plus global button. Use 0 to deactivate the service.","Points acquis lors du click sur le bouton général Google+. Utiliser 0 pour désactiver le service."
"Google plus data-size","Google plus data-size"
"Google+ data-size (default is: medium). Check google+ api in order to know other possible values.","Google+ data-size (valeur par défaut : medium). Plus de détails dans la documentation de l'api Google+."
"Google plus data-annotation","Google plus data-annotation"
"Google+ data-annotation (default is: bubble). Check google+ api in order to know other possible values.","Google+ data-annotation (valeur par défaut : bubble). Plus de détails dans la documentation de l'api Google+."
"Google Js Extra","Google Extra Js"
"Can be used to inset extra js element such as language modification (e.g. window.___gcfg = {lang: 'fr'};).","Peut être utilisé pour l'insertion de scripts js supplémentaires, comme par exemple la modification de langue (ex : window.___gcfg = {lang: 'fr'};)."
"Twitter points","Points Twitter"
"Points earned clicking on twitter global button. Use 0 to deactivate the service.","Points acquis lors du click sur le bouton général Twitter. Utiliser 0 pour désactiver le service."
"Twitter data-count","Twitter data-count"
"Twitter data-count (default is: horizontal). Check Twitter api in order to know other possible values.","Twitter data-count (valeur par défaut : horizontal). Plus de détails dans la documentation de l'api Twitter."
"Twitter data-size","Twitter data-size"
"Twitter data-size (default is: default). Check Twitter api in order to know other possible values.","Twitter data-size (valeur par défaut : default). Plus de détails dans la documentation de l'api Twitter."
"URL Shortener","URL Shortener"
"This service uses TinyURL services in order to shorten your URLs (only used for Twitter).","Ce service utilise TinyURL pour raccourcir vos URL (uniquement disponible pour Twitter). Très utile pour les twitt à cause de la limitation du nombre de caractères."
"Social Points","Points Réseaux sociaux"
"Related to product: %s","Lié au produit : %s"
"- not relevant -","- non utilisé -"
"Google Plus points","Points Google+"
"Facebook Like Points","Points Facebook J'aime"
"Google + Points","Points Google+"
"Twitter Share Points","Point partage Twitter"
"Share and collect points","Partagez et gagnez des points"
"Like this site and collect %d point(s)","Cliquez sur j'aime et gagnez %d point(s) pour partager ce site"
"Google Plus this site and collect %d point(s)","Cliquez sur le bouton Google+ pour gagner %d point(s) pour partager ce site"
"Tweet this site and collect %d point(s)","Twittez ce site et gagnez %d point(s)"
"Tweet this product and collect %d point(s)","Twittez ce produit et gagnez %d point(s)"
"Like this product and collect %d point(s)","Cliquez sur j'aime et gagnez %d point(s) pour partager ce produit"
"Google Plus this product and collect %d point(s)","Cliquez sur le bouton Google+ pour gagner %d point(s) pour partager ce produit"
"Max. social share / day","Max. partage social"
"Maximum social share per customer per day (0 for unlimited).","Partages maximums per jour et par client (0 pour illimité)."
"Log into %s in order to collect extra points when sharing this site with your favorite social network.","Veuillez vous connecter à %s pour pouvoir partager ce site sur votre réseau social préféré et ainsi gagner des points fidélité."
"your account","votre compte"
